code_key,code,Close,Vol_Ratio,Pattern,select_time,symbol,sector_code_name,industry_name,strategy_name,date
002779,002779.SZ,129.37,2.73,1板1调,2025-12-08,中坚科技,工业,专用设备制造业,n_pattern_rebound,20251208
600302,600302.SH,10.78,1.81,1板1调,2025-12-08,标准股份,工业,专用设备制造业,n_pattern_rebound,20251208
600984,600984.SH,4.51,1.82,1板1调,2025-12-08,建设机械,工业,专用设备制造业,n_pattern_rebound,20251208
002031,002031.SZ,8.03,1.71,1板2调,2025-12-08,巨轮智能,工业,专用设备制造业,n_pattern_rebound,20251208
300095,300095.SZ,11.110000000000001,1.74,1板2调,2025-12-08,华伍股份,工业,专用设备制造业,n_pattern_rebound,20251208
301510,301510.SZ,39.6,0.87,1板2调,2025-12-08,固高科技,信息技术,仪器仪表制造业,n_pattern_rebound,20251208
000639,000639.SZ,3.7600000000000002,3.43,1板1调,2025-12-08,西王食品,必需消费品,农副食品加工业,n_pattern_rebound,20251208
002515,002515.SZ,6.800000000000001,1.17,1板3调,2025-12-08,金字火腿,必需消费品,农副食品加工业,n_pattern_rebound,20251208
600800,600800.SH,5.05,0.0,1板1调,2025-12-08,渤海化学,信息技术,化学原料和化学制品制造业,n_pattern_rebound,20251208
603067,603067.SH,28.720000000000002,1.48,1板1调,2025-12-08,振华股份,原材料,化学原料和化学制品制造业,n_pattern_rebound,20251208
600227,600227.SH,2.97,3.14,1板1调,2025-12-08,赤天化,原材料,医药制造业,n_pattern_rebound,20251208
002107,002107.SZ,6.78,1.66,1板2调,2025-12-08,沃华医药,医疗保健,医药制造业,n_pattern_rebound,20251208
002566,002566.SZ,8.66,1.22,1板3调,2025-12-08,益盛药业,医疗保健,医药制造业,n_pattern_rebound,20251208
603590,603590.SH,43.26,1.13,1板3调,2025-12-08,康辰药业,医疗保健,医药制造业,n_pattern_rebound,20251208
002836,002836.SZ,17.54,1.33,1板3调,2025-12-08,新宏泽,工业,印刷和记录媒介复制业,n_pattern_rebound,20251208
002344,002344.SZ,5.1,1.3,1板2调,2025-12-08,海宁皮城,房地产,商务服务业,n_pattern_rebound,20251208
002769,002769.SZ,12.940000000000001,0.0,1板3调,2025-12-08,普路通,工业,商务服务业,n_pattern_rebound,20251208
605303,605303.SH,20.38,1.34,1板1调,2025-12-08,园林股份,工业,土木工程建筑业,n_pattern_rebound,20251208
605598,605598.SH,49.769999999999996,1.67,1板1调,2025-12-08,上海港湾,工业,土木工程建筑业,n_pattern_rebound,20251208
300749,300749.SZ,12.32,2.57,1板1调,2025-12-08,顶固集创,非必须消费品,家具制造业,n_pattern_rebound,20251208
603709,603709.SH,18.71,3.6,1板1调,2025-12-08,中源家居,非必须消费品,家具制造业,n_pattern_rebound,20251208
600217,600217.SH,4.4,0.93,1板2调,2025-12-08,中再资环,工业,废弃资源综合利用业,n_pattern_rebound,20251208
002830,002830.SZ,23.29,3.91,1板1调,2025-12-08,名雕股份,工业,建筑装饰和其他建筑业,n_pattern_rebound,20251208
000632,000632.SZ,7.48,1.63,1板1调,2025-12-08,三木集团,工业,批发业,n_pattern_rebound,20251208
603398,603398.SH,8.86,0.73,1板1调,2025-12-08,沐邦高科,非必须消费品,文教、工美、体育和娱乐用品制造业,n_pattern_rebound,20251208
002575,002575.SZ,7.2700000000000005,0.89,1板2调,2025-12-08,群兴玩具,非必须消费品,文教、工美、体育和娱乐用品制造业,n_pattern_rebound,20251208
600255,600255.SH,4.08,0.96,1板3调,2025-12-08,鑫科材料,原材料,有色金属冶炼和压延加工业,n_pattern_rebound,20251208
600281,600281.SH,6.37,0.84,1板3调,2025-12-08,华阳新材,工业,有色金属冶炼和压延加工业,n_pattern_rebound,20251208
002631,002631.SZ,5.84,0.99,1板3调,2025-12-08,德尔未来,原材料,木材加工和木、竹、藤、棕、草制品业,n_pattern_rebound,20251208
301005,301005.SZ,72.5,1.49,1板1调,2025-12-08,超捷股份,非必须消费品,汽车制造业,n_pattern_rebound,20251208
301529,301529.SZ,92.29,1.42,1板1调,2025-12-08,福赛科技,非必须消费品,汽车制造业,n_pattern_rebound,20251208
